액터번호,이미지캡션(국문),이미지캡션(영문)
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 바로 선 자세를 취하고 있는 정면 모습.,"An under 10s boy is taking position on white backround; Standing straight, wearing a shirts, and a pair of cotton-pants on front view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 바로 선 자세를 취하고 있는 좌측 정면 모습.,"An under 10s boy is taking position on white backround; Standing straight, wearing a shirts, and a pair of cotton-pants on left front view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 바로 선 자세를 취하고 있는 우측 후면 모습.,"An under 10s boy is taking position on white backround; Standing straight, wearing a shirts, and a pair of cotton-pants on right back view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 바로 선 자세를 취하고 있는 후면 모습.,"An under 10s boy is taking position on white backround; Standing straight, wearing a shirts, and a pair of cotton-pants on back view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 바로 선 자세를 취하고 있는 좌측 후면 모습.,"An under 10s boy is taking position on white backround; Standing straight, wearing a shirts, and a pair of cotton-pants on left back view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 바로 선 자세를 취하고 있는 우측 정면 모습.,"An under 10s boy is taking position on white backround; Standing straight, wearing a shirts, and a pair of cotton-pants on right front view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 머리 위로 팔 뻗은 자세를 취하고 있는 정면 모습.,"An under 10s boy is taking position on white backround; inverting both arms at 90 degree at shoulder level, wearing a shirts, and a pair of cotton-pants on front view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 머리 위로 팔 뻗은 자세를 취하고 있는 좌측 정면 모습.,"An under 10s boy is taking position on white backround; inverting both arms at 90 degree at shoulder level, wearing a shirts, and a pair of cotton-pants on left front view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 머리 위로 팔 뻗은 자세를 취하고 있는 우측 후면 모습.,"An under 10s boy is taking position on white backround; inverting both arms at 90 degree at shoulder level, wearing a shirts, and a pair of cotton-pants on right back view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 머리 위로 팔 뻗은 자세를 취하고 있는 후면 모습.,"An under 10s boy is taking position on white backround; inverting both arms at 90 degree at shoulder level, wearing a shirts, and a pair of cotton-pants on back view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 머리 위로 팔 뻗은 자세를 취하고 있는 좌측 후면 모습.,"An under 10s boy is taking position on white backround; inverting both arms at 90 degree at shoulder level, wearing a shirts, and a pair of cotton-pants on left back view."
0001,흰색 배경에서 10대 미만 남자가 셔츠와 면바지를 입고 머리 위로 팔 뻗은 자세를 취하고 있는 우측 정면 모습.,"An under 10s boy is taking position on white backround; inverting both arms at 90 degree at shoulder level, wearing a shirts, and a pair of cotton-pants on right front view."
